"Latitude(deg)","Longitude(deg)","TxxEGM96","TxyEGM96","TxzEGM96","TyyEGM96","TyzEGM96","TzzEGM96"
32.2,50.6,72.28346238935214,1.4863542076150822,-4.7621523215342005,-70.4637361270495,-4.553404740093539,-1.8197262623026638
32.2,50.7,72.2866409543757,1.2684607288097987,-4.205246097995923,-70.34158857408245,-3.2442016266790445,-1.945052380293347
32.2,50.8,72.31821446970098,0.9248945236109344,-3.7089582750258283,-70.6237630643745,-2.1490962088222165,-1.6944514053264756
32.2,50.9,72.40217088406288,0.4461867355164568,-3.3449205294543423,-71.18431633604794,-1.3742686659037588,-1.2178545480149177
32.2,51.,72.5580983843676,-0.15434569314647514,-3.182440884552723,-71.87596240872662,-0.9629906443692355,-0.6821359756409909
32.2,51.1,72.797423521541,-0.840349809350913,-3.277455098798245,-72.55351013998494,-0.8964388287701389,-0.24391338155591732
32.2,51.2,73.12039469081596,-1.5560088170465174,-3.6626735522745935,-73.09371314266338,-1.1031269444913878,-0.02668154815249021
32.2,51.3,73.51436089070017,-2.2329958331207465,-4.340552049912517,-73.40953997879922,-1.4741877648997486,-0.10482091190097274
32.2,51.4,73.95375689782877,-2.7997695671138567,-5.2803135771707135,-73.45826931671749,-1.8816024954420623,-0.4954875811114517
32.2,51.5,74.40199209302097,-3.1917447188102566,-6.4196242799371985,-73.243809997852,-2.1969410252966974,-1.1581820951690864
32.2,51.6,74.81517645917651,-3.3606974176912088,-7.670786080956119,-72.81407438506699,-2.3088880656209665,-2.0011020741096295
32.2,51.7,75.1473376199629,-3.28188473020682,-8.930580303566801,-72.2541677757925,-2.138430718148792,-2.89316984417038
32.2,51.8,75.3565261967509,-2.9577474044684227,-10.092311397224176,-71.67585743291129,-1.650843370670699,-3.6806687638396336
32.2,51.9,75.4110129753863,-2.4176542528628335,-11.058262143478869,-71.20358745871712,-0.8635019900881488,-4.207425516669094
32.2,52.,75.29468571696722,-1.7138240001892584,-11.750740645347381,-70.95748459084352,0.15172461572040014,-4.33720112612375
32.3,50.,71.22942250105864,1.89382107457765,-6.52704847591053,-79.05702800350859,-7.631225156839664,7.82760550244996
32.3,50.1,71.52367037305628,1.6959654975030762,-6.281891675302339,-77.25759691021716,-8.52802907404118,5.733926537160876
32.3,50.2,71.8305138094196,1.578875094812154,-5.99242481433625,-75.35039470093616,-8.823831137072819,3.519880891516571
32.3,50.3,72.13919994516866,1.526231929901077,-5.6256691109351395,-73.53606454672911,-8.53339433614156,1.3968646015603448
