Latitude(deg),Longitude(deg),TxxParker,TxyParker,TxzParker,TyyParker,TyzParker,TzzParker
32.3,51.0,40.42864084077895,-8.450848538357493,-82.5974903673536,25.611026284929505,-21.440591470353553,-66.03966712556478
32.3,51.1,-2.086697977815821,-23.278293895762115,22.386754610452787,52.71960479384615,-57.42969272719747,-50.63290681588667
32.3,51.2,-6.96622675901552,40.816566061689905,-22.989384917414174,62.47968525321247,-50.042033971403555,-55.51345849405331
32.3,51.3,9.765314098800236,3.2103137446133423,1.2374309709999576,37.833910545825105,22.53503631216603,-47.599224644481694
32.3,51.4,8.896895484668269,-9.109870878351764,-2.4369764212546903,-0.20872299734301064,-16.75339044206448,-8.688172487181589
32.3,51.5,14.32437706935114,0.5312974740989946,-10.808896496376189,10.629094909376892,-15.556614792998552,-24.953471978584357
32.3,51.6,15.19107141155301,-0.5360303146275271,1.0133031890896447,8.468591424091565,-14.6745001889543,-23.659662835500875
32.3,51.7,24.899199555251776,0.554255427146666,17.463403916710416,14.39343025700639,-25.38768688873586,-39.29262981211447
32.3,51.8,-25.476704178464185,10.976036034696321,26.60193770173768,-39.89407872632741,-6.777839419034747,65.3707829049353
32.3,51.9,36.53882063730619,2.389263295593064,-76.16448046425725,-18.124088534910047,-8.470004739151916,-18.414732102252444
32.3,52.0,111.74292293744901,2.956317204211351,87.22521716984225,-9.236302128279558,-23.369571277423827,-102.50662080902579
32.4,50.0,-93.41845621128792,2.8286710297265985,116.86543757397172,64.10527951370703,40.88493262426973,29.313176697724582
32.4,50.1,-77.53997935289033,5.58435392876123,-90.97611445525993,94.89260403476784,29.12328203827176,-17.35262468173382
32.4,50.2,77.29790021607315,-26.806622914331502,64.61564835647809,-5.184383865368196,41.129373211412904,-72.11351635056126
32.4,50.3,-95.09524300006768,6.823478905163265,22.402147167863365,-82.87354110417526,-23.56794195987525,177.96878410438651
32.4,50.4,41.74702998630005,2.1239117479017535,-52.63869532357727,-38.512091375175636,68.88563798117241,-3.234938610980728
32.4,50.5,-40.7762260986732,-10.875120693897882,39.20806808597032,-30.502795572964718,-17.982147412587743,71.2790216717816
32.4,50.6,-5.279548650427707,14.944945468632165,-57.53035598945927,11.168332627476083,9.118221988179116,-5.888783976904726
32.4,50.7,-5.591394194718734,-5.758798753186495,13.03367238026686,-14.459506449818399,-1.6591258588230382,20.050900644680823
32.4,50.8,-3.493871832596126,-22.76639238277106,-54.442068943950005,8.3227452470207,-3.029161988101297,-4.82887341428091
32.4,50.9,17.904429505907967,-1.8149947454088535,-2.3022921885940413,69.18686002522074,-64.10329475847766,-87.09128953098504
32.4,51.0,-11.511202904725094,30.405135103283378,16.601245191331365,8.90632905217027,7.157572258433418,2.604873852698536
32.4,51.1,8.300593444428634,-0.7707307476901858,-27.895686807702877,-0.153894266595912,36.885990099360875,-8.146699177689058
32.4,51.2,8.9860142254449,-9.11925743004065,46.91355157127128,-22.14905776843493,31.610219880040646,13.163043543133739
32.4,51.3,-40.378373078782055,-5.451096049059434,-45.44851223091825,-45.191086233441446,6.6687549688122845,85.56945931236716
32.4,51.4,44.055320704441236,-1.0525670589174088,-28.65076565660368,6.053272885089346,3.6819857437232546,-50.10859358938689
32.4,51.5,10.289210733014501,0.19049261736247122,0.7777641359217331,4.176560548795974,-3.4495329238422574,-14.465771281666763
32.4,51.6,17.077644349825743,9.81972444209401,14.47518505908277,1.4551018553791397,9.161038199792165,-18.53274620506123
